task,fusion,modalities,folds,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_macro_f1,std_test_macro_f1,mean_nonoverlap_macro_f1,mean_folder_macro_f1,mean_majority_baseline_macro_f1,mean_params,mean_size_mb
surface,concat,imu+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8278501714055309,0.09483235893512845,0.7866687750915112,0.1251212821580869,0.785702023752037,0.8314316253907972,0.08876926659134109,151237.0,1.919891357421875
surface,concat,imu+audio,"test_p1p2,test_p3,test_p4",3,0.826535287132887,0.09732578279065063,0.7855400290523059,0.13314103061067156,0.7813532599331191,0.8433774552138971,0.08876926659134109,128741.0,1.6241378784179688
surface,gated,imu+mag+audio,"test_p1p2,test_p3,test_p4",3,0.8216772875373772,0.14947970171053976,0.784595141579696,0.18797844804890165,0.7796278959491985,0.8187455871110201,0.08876926659134109,146824.0,1.8929595947265625
surface,gated,mag+audio,"test_p1p2,test_p3,test_p4",3,0.7945060685178298,0.1590608454404906,0.76681835333184,0.18216081306471082,0.7671694170169001,0.8204532107089652,0.08876926659134109,71223.0,0.9666290283203125
surface,concat,mag+audio,"test_p1p2,test_p3,test_p4",3,0.7880690693579976,0.18343001863153194,0.7654333038011774,0.20235844286420995,0.7672466393102337,0.8006797166748115,0.08876926659134109,71077.0,0.9461517333984375
surface,gated,imu+audio,"test_p1p2,test_p3,test_p4",3,0.807765153608868,0.14450690552319828,0.7623544573829887,0.18501383083163436,0.7577329837546328,0.7787088599821245,0.08876926659134109,128887.0,1.6448516845703125
surface,gated,imu+tof,"test_p1p2,test_p3,test_p4",3,0.710687140195987,0.06297678628990816,0.6772711483575565,0.053978933700459315,0.6819002394239003,0.6926558890311737,0.08876926659134109,116247.0,1.4893951416015625
surface,gated,imu+tof+mag,"test_p1p2,test_p3,test_p4",3,0.6766860046995982,0.13421021549635256,0.6537983780355988,0.10375099942950874,0.6504726021918571,0.7007279638539337,0.08876926659134109,134184.0,1.7381134033203125
surface,concat,imu+tof+mag,"test_p1p2,test_p3,test_p4",3,0.678020888630687,0.11352043275513098,0.6458300060252408,0.08720891468384279,0.6479528952372478,0.6348843352522602,0.08876926659134109,138597.0,1.7681350708007812
surface,concat,tof+mag,"test_p1p2,test_p3,test_p4",3,0.6433115789090863,0.07404482753979423,0.6449722141558715,0.08237052631762075,0.6422187218937089,0.7487972865981852,0.08876926659134109,58437.0,0.793792724609375
surface,single,tof,"test_p1p2,test_p3,test_p4",3,0.6212798484270222,0.07045573405765829,0.6362085888377558,0.07236982791310821,0.6326243446562072,0.6780725190574962,0.08876926659134109,26245.0,0.366241455078125
surface,gated,tof+mag,"test_p1p2,test_p3,test_p4",3,0.6204382813742919,0.09119351534333638,0.6270520080421317,0.09060409863193217,0.6272864913314973,0.7488069162475942,0.08876926659134109,58583.0,0.8155059814453125
surface,concat,imu+tof,"test_p1p2,test_p3,test_p4",3,0.6735535492952636,0.06791778577270736,0.6241347656520032,0.047127275914698286,0.6255443190063261,0.613014688932719,0.08876926659134109,116101.0,1.4688568115234375
surface,single,imu,"test_p1p2,test_p3,test_p4",3,0.6107927128606768,0.05773720711627601,0.5519934677844521,0.08632796747292744,0.5518591639565136,0.5943081818521537,0.08876926659134109,84005.0,1.0439910888671875
surface,gated,imu+mag,"test_p1p2,test_p3,test_p4",3,0.591550739811054,0.14175018184912788,0.5317472865574044,0.16086739218699242,0.5251614027231347,0.5468618841063922,0.08876926659134109,116343.0,1.4917831420898438
surface,concat,imu+mag,"test_p1p2,test_p3,test_p4",3,0.5652326350851364,0.12323050618810161,0.5086055617016155,0.1440983858187353,0.5109640122772094,0.5252909748267728,0.08876926659134109,116197.0,1.4715118408203125
surface,single,mag,"test_p1p2,test_p3,test_p4",3,0.22851123834214535,0.07394056372592857,0.22392299541215954,0.07234625355025003,0.2237612579154583,0.20936883687288385,0.08876926659134109,26341.0,0.36614227294921875
